name,translatable,values,values-de-rDE,values-en-rCA,values-en-rGB,values-fr,values-fr-rCA,values-fr-rFR,values-nl,values-sv,values-it,values-fr-rBE,values-nl-rBE,values-en-rBE,values-fr-rCH,values-de-rCH,values-fr-rLU,values-de-rLU,values-en-rLU,values-de-rAT,values-en-rIE,values-pl,values-fi,values-es,values-cs,values-hu
more_info_needed_title,TRUE,More Information Needed,Mehr Infos erforderlich,More Information Needed,More Information Needed,Il nous faut plus d\'information sur vous,Il nous faut plus d\'information sur vous,Il nous faut plus d\'information sur vous,Meer informatie nodig.,Mer information behövs,Maggiori Informazioni necessarie,Il nous faut plus d\'information sur vous,Meer informatie nodig.,More Information Needed,Il nous faut plus d\'information sur vous,Mehr Infos erforderlich,Il nous faut plus d\'information sur vous,Mehr Infos erforderlich,More Information Needed,Mehr Infos erforderlich,More Information Needed,Potrzebujemy więcej informacji,Tarvitsemme lisää tietoja,Necesitamos más información sobre ti,Je potřeba více informací,Több információra van szükségünk
navigation_drawer_close,TRUE,Close navigation drawer,Navigation schließen,Close navigation drawer,Close navigation drawer,Fermer le menu de navigation,Fermer le menu de navigation,Partager via,Sluit navigatie,Stäng navigering,Chiudi menu,Fermer le menu de navigation,Sluit navigatie,Close navigation drawer,Fermer le menu de navigation,Navigation schliessen,Fermer le menu de navigation,Navigation schließen,Close navigation drawer,Navigation schließen,Close navigation drawer,Zamknij,Sulje navigaatiopalkki,Cerrar el menu de navegación,Zavřít navigaci,Navigáció bezárása
navigation_drawer_open,TRUE,Open navigation drawer,Navigation öffnen,Open navigation drawer,Open navigation drawer,Ouvrir le menu de navigation,Ouvrir le menu de navigation,Ouvrir le menu de navigation,Open navigatie,Öppna navigering,Apri menu,Ouvrir le menu de navigation,Open navigatie,Open navigation drawer,Ouvrir le menu de navigation,Navigation öffnen,Ouvrir le menu de navigation,Navigation öffnen,Open navigation drawer,Navigation öffnen,Open navigation drawer,Otwórz,Avaa navigaatiopalkki,Abrir el menu de navegación,Otevřit navigaci,Navigáció megnyitása
next,TRUE,Continue &#187;,Weiter &#187;,Continue &#187;,Continue &#187;,Continuer &#187;,Continuez &#187;,Continuer &#187;,Doorgaan ,Fortsätt &#187;,Continua &#187;,Continuer &#187;,Doorgaan,Continue &#187;,Continuer &#187;,Weiter &#187;,Continuer &#187;,Weiter &#187;,Continue &#187;,Weiter &#187;,Continue &#187;,Dalej &#187;,Jatka &#187;,Continuar &#187;,Pokračovat &#187;,Folytatás &#187;
no_connection,TRUE,No network connection,Keine Netzwerkverbindung,No network connection,No network connection,Aucune connexion réseau,Aucune connexion réseau,Aucune connexion réseau,Geen netwerkverbinding,Ingen nätverksåtkomst,Nessuna connessione di rete,Aucune connexion réseau,Geen netwerkverbinding,No network connection,Aucune connexion réseau,Keine Netzwerkverbindung,Aucune connexion réseau,Keine Netzwerkverbindung,No network connection,Keine Netzwerkverbindung,No network connection,Błąd połączenia,Ei yhteyttä verkkoon,Ninguna conexión internet,Bez internetového připojení,Ninics hálózat
no_education,TRUE,Where did you go to school?,Wo bist du zur Schule gegangen?,Where did you go to school?,Where did you go to school?,Où avez-vous étudié ?,Où avez-vous étudié ?,Où avez-vous étudié ?,Op welke school heb je gezeten?,Var gick du i skolan?,Dove hai studiato?,Où avez-vous étudié ?,Op welke school heb je gezeten?,Where did you go to school?,Où avez-vous étudié ?,Wo bist du zur Schule gegangen?,Où avez-vous étudié ?,Wo bist du zur Schule gegangen?,Where did you go to school?,Wo bist du zur Schule gegangen?,Where did you go to school?,Wykształcenie,Missä kävit koulun?,¿Dónde has estudiado?,Kam jste chodili do školy?,Hova jártál iskolába?
no_experience,TRUE,Where have you worked?,Wo hast du gearbeitet?,Where have you worked?,Where have you worked?,Où avez-vous travaillé ?,Où avez-vous travaillé ?,Où avez-vous travaillé ?,Waar heb je gewerkt?,Var har du jobbat?,Dove hai lavorato?,Où avez-vous travaillé ?,Waar heb je gewerkt?,Where have you worked?,Où avez-vous travaillé ?,Wo hast du gearbeitet?,Où avez-vous travaillé ?,Wo hast du gearbeitet?,Where have you worked?,Wo hast du gearbeitet?,Where have you worked?,Doświadczenie zawodowe,Missä olet työskennellyt?,¿Dónde has trabajado?,Jaké máte pracovní zkušenosti?,Hol dolgoztál?
no_fb,TRUE,Sign up with email,Mit E-Mail registrieren,Don't have a Facebook account?,Sign up with email,Vous n\'avez pas de compte Facebook ?,Vous n\'avez pas de compte Facebook ?,Vous n\'avez pas de compte Facebook ?,Aanmelden met e-mailadres,Använd din e-postadress för att bli medlem,Iscriviti con un indirizzo email,Vous n\'avez pas de compte Facebook ?,Aanmelden met e-mailadres,Sign up with email,Vous n\'avez pas de compte Facebook ?,Mit E-Mail registrieren,Vous n\'avez pas de compte Facebook ?,Mit E-Mail registrieren,Sign up with email,Mit E-Mail registrieren,Sign up with email,Zarejestruj się przez email,Kirjaudu sähköpostilla,¿No tienes una cuenta Facebook?,Přihlásit se přes e-mail,Regisztráció e-maillel
no_resume,TRUE,Upload a resume,Lebenslauf hochladen,Upload a resume,Upload a CV,Télécharger un CV,Télécharger un CV,Télécharger un CV,Upload jouw cv,Ladda upp ett CV,Carica un CV,Télécharger un CV,Upload jouw cv,Upload a CV,Télécharger un CV,Lebenslauf hochladen,Télécharger un CV,Lebenslauf hochladen,Upload a CV,Lebenslauf hochladen,Upload a CV,Dodaj CV,Lataa ansioluettelo,Subir un CV,Nahrát CV,Önéletrajz feltöltése
no_skills,TRUE,What skills do you have?,Welche Fähigkeiten hast du?,What skills do you have?,What skills do you have?,Quelles sont vos compétences ?,Quelles sont vos compétences ?,Quelles sont vos compétences ?,Welke vaardigheden heb jij?,Vilka färdigheter har du?,Che competenze possiedi?,Quelles sont vos compétences ?,Welke vaardigheden heb jij?,What skills do you have?,Quelles sont vos compétences ?,Welche Fähigkeiten hast du?,Quelles sont vos compétences ?,Welche Fähigkeiten hast du?,What skills do you have?,Welche Fähigkeiten hast du?,What skills do you have?,Twoje umiejętności,Mitä taitoja sinulla on?,¿Qué habilidades tienes?,Jaké máte dovednosti?,Milyen szakmai készségeid vannak?
no_thanks,TRUE,"No, thanks",Bitte nicht,"No, thanks","No, thanks",Non merci.,Non merci.,Non merci.,"Nee, bedankt",Nej tack,"No, grazie",Non merci.,"Nee, bedankt","No, thanks",Non merci.,Bitte nicht,Non merci.,Bitte nicht,"No, thanks",Bitte nicht,"No, thanks","Nie, dziękuję",Ei kiitos,No gracias.,"Ne, díky","Nem, köszönöm"
not_now,TRUE,Not Now,Nicht jetzt,Not Now,Not Now,Pas maintenant,Pas encore,Pas maintenant,Niet nu,Inte nu,Non ora,Pas maintenant,Niet nu,Not Now,Pas maintenant,Nicht jetzt,Pas maintenant,Nicht jetzt,Not Now,Nicht jetzt,Not Now,Nie teraz,Ei nyt,Ahora no,Teď ne,Most nem
notification_settings,TRUE,Notification Settings,Ben.-Einstellungen,Notification Settings,Notification Settings,Paramètres de notifications,Paramètres de notifications,Paramètres de notifications,Bericht instellingen,Meddelandeinställningar,Impostazioni notifiche,Paramètres de notifications,Bericht instellingen,Notification Settings,Paramètres de notifications,Ben.-Einstellungen,Paramètres de notifications,Ben.-Einstellungen,Notification Settings,Ben.-Einstellungen,Notification Settings,Ustawienia powiadomień,Ilmoitusasetukset,Configuración de notificaciones,Nastavení oznámení,Értesítések beállításai
notifications,TRUE,Notifications,Benachrichtigungen,Notifications,Notifications,Notifications,Notifications,Notifications,Berichtgeving,Meddelanden,Notifiche,Notifications,Berichtgeving,Notifications,Notifications,Benachrichtigungen,Notifications,Benachrichtigungen,Notifications,Benachrichtigungen,Notifications,Powiadomienia,Ilmoitukset,Notificaciones,Oznámení,Értesítések
off,TRUE,OFF,Aus,OFF,OFF,OFF,OFF,OFF,OFF,AV,OFF,OFF,OFF,OFF,OFF,Aus,OFF,Aus,OFF,Aus,OFF,WYŁĄCZ,Pois,Desactivado,Vypnuto,KI
ok,TRUE,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,Selvä,Listo,OK,OK
on,TRUE,ON,An,ON,ON,ON,ON,ON,ON,PÅ,ON,ON,ON,ON,ON,An,ON,An,ON,An,ON,WŁĄCZ,Päällä,Activado,Zapnuto,BE
on_site,TRUE,Onsite,Dienstsitz,Onsite,Onsite,Sur place,Sur place,Sur place,Op locatie,På plats,Sul posto,Sur place,Op locatie,Onsite,Sur place,Dienstsitz,Sur place,Dienstsitz,Onsite,Dienstsitz,Onsite,Na stronie,Sivustolla,En la web,Na stránce,Weboldalon
onboarding,TRUE,Onboarding,Tutorial,Onboarding,Onboarding,Tutoriel,Tutoriel,Tutoriel,Tutorial,Handledning,Tutorial,Tutoriel,Tutorial,Onboarding,Tutoriel,Tutorial,Tutoriel,Tutorial,Onboarding,Tutorial,Onboarding,Przewodnik,Ohjeistus,Tutorías,Tutorial,Bemutató
onboarding_apply_subtitle,TRUE,"If you\'re interested in a job, swipe the card right to apply.","Wenn dich ein Job interessiert, swipe einfach nach rechts zum Bewerben!","If you\'re interested in a job, swipe the card right to apply.","If you\'re interested in a job, swipe the card right to apply.","Si une offre vous intéresse, swipez-la vers la droite pour postuler.","Si une offre vous intéresse, glissez-la vers la droite pour postuler","Si une offre vous intéresse, swipez-la vers la droite pour postuler.","Als je geïnteresseerd bent in een vacature, swipe dan naar rechts om te solliciteren.",Om du är intresserad av ett jobb swipar du höger för att ansöka.,"Se sei interessato all'annuncio, trascinalo verso destra per candidarti.","Si une offre vous intéresse, swipez-la vers la droite pour postuler.","Als je geïnteresseerd bent in een vacature, swipe dan naar rechts om te solliciteren.","If you\'re interested in a job, swipe the card right to apply.","Si une offre vous intéresse, swipez-la vers la droite pour postuler.","Wenn dich ein Job interessiert, swipe einfach nach rechts zum Bewerben!","Si une offre vous intéresse, swipez-la vers la droite pour postuler.","Wenn dich ein Job interessiert, swipe einfach nach rechts zum Bewerben!","If you\'re interested in a job, swipe the card right to apply.","Wenn dich ein Job interessiert, swipe einfach nach rechts zum Bewerben!","If you\'re interested in a job, swipe the card right to apply.","Przesuń kartę z ofertą pracy w prawo, jeśli chcesz na nią aplikować.","Jos olet kiinnostunut tehtävästä, pyhkäise oikealle hakeaksesi.","Si una oferta te interesa, deslízala hacia la derecha para solicitarla.","Pokud tě nabídka zaujala, stačí posunout doprava.","Ha érdekel az állás, húzd jobbra a kártyát a pályázáshoz."
onboarding_apply_title,TRUE,Apply,Bewerben,Apply,Apply,Postuler,Postuler,Postuler,Solliciteer,Ansök,Candidati,Postuler,Solliciteer,Apply,Postuler,Bewerben,Postuler,Bewerben,Apply,Bewerben,Apply,Aplikuj,Hae ,Solicitar,Odpovědět,Pályázás
onboarding_empty_subtitle,TRUE,"If you have any questions, please feel free to contact us. Happy swiping!","Falls du Fragen hast, kannst du uns jederzeit kontaktieren. Viel Spaß beim Swipen!","If you have any questions, please feel free to contact us. Happy swiping!","If you have any questions, please feel free to contact us. Happy swiping!","Pour toutes questions, n\'hésitez pas à nous contacter. Bon Swiping !","Pour toutes questions, n\'hésitez pas à nous contacter. Bon Glissage !","Pour toutes questions, n\'hésitez pas à nous contacter. Bon Swiping !",Vragen? Neem contact met ons op. Happy swiping!,Tveka inte att kontakta oss om du har några frågor.,Per qualsiasi domanda non esitare a contattarci.,"Pour toutes questions, n\'hésitez pas à nous contacter. Bon Swiping !",Vragen? Neem contact met ons op. Happy swiping!,"If you have any questions, please feel free to contact us. Happy swiping!","Pour toutes questions, n\'hésitez pas à nous contacter. Bon Swiping !","Falls du Fragen hast, kannst du uns jederzeit kontaktieren. Viel Spass beim Swipen!","Pour toutes questions, n\'hésitez pas à nous contacter. Bon Swiping !","Falls du Fragen hast, kannst du uns jederzeit kontaktieren. Viel Spaß beim Swipen!","If you have any questions, please feel free to contact us. Happy swiping!","Falls du Fragen hast, kannst du uns jederzeit kontaktieren. Viel Spaß beim Swipen!","If you have any questions, please feel free to contact us. Happy swiping!",Powodzenia! Skontaktuj się z nami w razie pytań. Służymy pomocą!,"Jos sinulla on kysyttävää, ota rohkeasti yhteyttä. Hauskaa selailua!","Si tienes alguna pregunta, no dudes en contactarnos.","Máš-li jakékoliv dotazy, neváhej nás zkontaktovat. Šťastný lov!","Ha kérdésed lenne, lépj kapcsolatba velünk és tedd fel."
onboarding_empty_title,TRUE,Welcome to Monster!,Willkommen bei Monster!,Welcome to Monster!,Welcome to Monster!,Bienvenue sur Monster !,Bienvenue sur Monster !,Bienvenue sur Monster !,Welkom bij Monsterboard!,Välkommen till Monster,Benvenuto su Monster!,Bienvenue sur Monster !,Welkom bij Monster!,Welcome to Monster!,Bienvenue sur Monster !,Willkommen bei Monster!,Bienvenue sur Monster !,Willkommen bei Monster!,Welcome to Monster!,Willkommen bei Monster!,Welcome to Monster!,Witaj na MonsterPolska!,Tervetuloa Monsteriin!,¡Bienvenido a Monster!,Vítej v Monster!,Üdv a Monsteren!
onboarding_info_subtitle,TRUE,"To find out more about a job, tap on the card.","Um mehr über einen Job zu erfahren, tippe einfach auf die Job-Karte.","To find out more about a job, tap on the card.","To find out more about a job, tap on the card.","Pour en savoir plus sur une offre, cliquez dessus.","Pour en savoir plus sur une offre, cliquez dessus.","Pour en savoir plus sur une offre, cliquez dessus.",Meer weten over een vacature? Tik op de vacature.,Tryck på jobbet för mer information,"Per scoprire di più su un'offerta, toccala!","Pour en savoir plus sur une offre, cliquez dessus.",Meer weten over een vacature? Tik op de vacature.,"To find out more about a job, tap on the card.","Pour en savoir plus sur une offre, cliquez dessus.","Um mehr über einen Job zu erfahren, tippe einfach auf die Job-Karte.","Pour en savoir plus sur une offre, cliquez dessus.","Um mehr über einen Job zu erfahren, tippe einfach auf die Job-Karte.","To find out more about a job, tap on the card.","Um mehr über einen Job zu erfahren, tippe einfach auf die Job-Karte.","To find out more about a job, tap on the card.","Dotknij kartę oferty pracy, aby dowiedzieć się o niej więcej.","Jos haluat tietää lisää tehtävästä, klikkaa tehtäväkorttia.","Para saber más sobre una oferta, haz clic aquí.",Zjisti víc o pozici klepnutím na kartu.,Az álláshirdetés részleteiért koppints a kártyára.
onboarding_info_title,TRUE,More Information,Job-Details,More Information,More Information,Plus d\'information,Plus d\'information,Plus d\'information,Meer informatie,Mer information,Più informazioni,Plus d\'information,Meer informatie,More Information,Plus d\'information,Job-Details,Plus d\'information,Job-Details,More Information,Job-Details,More Information,Więcej informacji,Lisätietoja,Más información,Více informací,Állás részletei
onboarding_pass_subtitle,TRUE,"If you\'re not interested in a job, swipe the card left to discard it.","Wenn dich ein Job nicht interessiert, swipe einfach nach links zum Überspringen.","If you\'re not interested in a job, swipe the card left to discard it.","If you\'re not interested in a job, swipe the card left to discard it.","Si une offre ne vous intéresse pas, swipez-la vers la gauche pour la passer.","Si une offre ne vous intéresse pas, glissez-la vers la gauche pour passer","Si une offre ne vous intéresse pas, swipez-la vers la gauche pour la passer.","Als je niet geïnteresseerd bent in een vacature, swipe dan naar links om af te wijzen.",Om du inte är intresserad av ett jobb swipar du vänster för att välja bort det.,"Se non sei interessato all'annuncio, trascinalo verso sinistra per scartarlo.","Si une offre ne vous intéresse pas, swipez-la vers la gauche pour la passer.","Als je niet geïnteresseerd bent in een vacature, swipe dan naar links om af te wijzen.","If you\'re not interested in a job, swipe the card left to discard it.","Si une offre ne vous intéresse pas, swipez-la vers la gauche pour la passer.","Wenn dich ein Job nicht interessiert, swipe einfach nach links zum Überspringen.","Si une offre ne vous intéresse pas, swipez-la vers la gauche pour la passer.","Wenn dich ein Job nicht interessiert, swipe einfach nach links zum Überspringen.","If you\'re not interested in a job, swipe the card left to discard it.","Wenn dich ein Job nicht interessiert, swipe einfach nach links zum Überspringen.","If you\'re not interested in a job, swipe the card left to discard it.","Przesuń kartę z ofertą pracy w lewo, aby ją odrzucić.","Jos et ole kiinnostunut tehtävästä, pyyhkäise vasemmalle hylätäksesi sen.","Si una oferta no te interesa, deslízala hacia la izquierda para descartarla.","Pokud tě nabídka nezaujala, posuň doleva.","Ha nem érdekel az állás, húzd balra a kártyát a kihagyáshoz."
onboarding_pass_title,TRUE,Pass,Überspringen,Pass,Pass,Passer,Passer,Passer,Wijs af,Välj bort,Scarta,Passer,Wijs af,Pass,Passer,Überspringen,Passer,Überspringen,Pass,Überspringen,Pass,Odrzuć,Hylkää,Descartar,Zahodit,Kihagyás
or,TRUE,or,oder,or,or,ou,ou,ou,of,eller,o,ou,of,or,ou,oder,ou,oder,or,oder,or,lub,tai,o,nebo,vagy
other,TRUE,Other,Andere,Other,Other,Autre,Autre,Autre,Anders,Annat,Altro,Autre,Anders,Other,Autre,Andere,Autre,Andere,Other,Andere,Other,Inne,Muu,Otro,Další,Egyéb
part_time,TRUE,Part-time,country,Part Time,Part Time,Temps partiel,À temps partiel,Temps partiel,Parttime,Deltid,Part-time,Temps partiel,Deeltijds,Part Time,Temps partiel,Teilzeit,Temps partiel,Teilzeit,Part Time,Teilzeit,Part Time,Tymczasowa,Osa-aikainen,Tiempo parcial,Částečný úvazek,Részmunkaidős
passed,TRUE,Passed,Fertig,Passed,Passed,Passées,Passées,Passées,Afgelopen,Bortvalt,Scartato,Passées,Afgelopen,Passed,Passées,Fertig,Passées,Fertig,Passed,Fertig,Passed,Odrzucone,Hylätty,Descartadas,Zahozeno,Kihagyva
password,TRUE,Password,Passwort,Password,Password,Mot de passe,Mot de passe,Mot de passe,Wachtwoord,Lösenord,Password,Mot de passe,Paswoord,Password,Mot de passe,Passwort,Mot de passe,Passwort,Password,Passwort,Password,Hasło,Salasana,Contraseña,Heslo,Jelszó
permission_location_denied,TRUE,Location permission denied,Standortzugriff nicht aktiviert,Location permission denied,Location permission denied,Permissions de localisation refusée,Permissions de localisation refusée,Permissions de localisation refusée,Locatie toestemming afgewezen.,Nekad åtkomst till platstjänster,Autorizzazione per l'utilizzo della Localizzazione negata,Permissions de localisation refusée,Locatie toestemming afgewezen.,Location permission denied,Permissions de localisation refusée,Standortzugriff nicht aktiviert,Permissions de localisation refusée,Standortzugriff nicht aktiviert,Location permission denied,Standortzugriff nicht aktiviert,Location permission denied,Dostęp do lokalizacji jest wyłączony,Sijaintitiedot estetty,La autorización de localización ha sido negada,Přístup k informacím o lokaci byl odepřen,Hely hozzáférés elutasítva
permission_location_neverask,TRUE,Please enable location permissions in system settings under apps.,Bitte aktiviere den Standortzugriff in deinen Systemeinstellungen.,Please enable location permissions in system settings under apps.,Please enable location permissions in system settings under apps.,Veuillez activer les permissions pour la localisation dans le menu Apps des réglages de votre téléphone.,Veuillez activer les permissions pour la localisation dans le menu Apps des réglages de votre téléphone.,Veuillez activer les permissions pour la localisation dans le menu Apps des réglages de votre téléphone.,Schakel locatie toestemming in bij systeem instellingen onder apps.,"Vänligen aktivera ""Tillåt platstjänster"" i Systeminställningarna under appar",Puoi autorizzare la localizzazione dalle impostazioni di sistema.,Veuillez activer les permissions pour la localisation dans le menu Apps des réglages de votre téléphone.,Schakel locatie toestemming in bij systeem instellingen onder apps.,Please enable location permissions in system settings under apps.,Veuillez activer les permissions pour la localisation dans le menu Apps des réglages de votre téléphone.,Bitte aktiviere den Standortzugriff in deinen Systemeinstellungen.,Veuillez activer les permissions pour la localisation dans le menu Apps des réglages de votre téléphone.,Bitte aktiviere den Standortzugriff in deinen Systemeinstellungen.,Please enable location permissions in system settings under apps.,Bitte aktiviere den Standortzugriff in deinen Systemeinstellungen.,Please enable location permissions in system settings under apps.,Włącz pozwolenie na dostęp do lokalizacji w ustawieniach systemowych aplikacji.,Vapauta sijintitiedot sovellusten asetuksista,Debes activar la autorización de localización en el menu de configuraciones de tu teléfono.,Povolte prosím informace o vaší lokaci v systémovém nastavení aplikací.,"Kérjük, engedélyezd hogy hozzáférjünk az eszköz földrajzi helyéhez. Ezt megteheted a rendszerbeállításoknál."
permission_location_rationale,TRUE,This permission is required to find nearby jobs.,Jetzt aktivieren und Jobs in deiner Nähe finden.,This permission is required to find nearby jobs.,This permission is required to find nearby jobs.,Cette permission est requise pour vous proposer des jobs proches de vous.,Cette permission est requise pour vous proposer des jobs proches de vous.,Cette permission est requise pour vous proposer des jobs proches de vous.,Deze toestemming is nodig om vacatures bij jou in de buurt te vinden.,Det här behövs för att hitta jobb i din närhet,Quest'autorizzazione è necessaria per trovare annunci nei tuoi dintorni.,Cette permission est requise pour vous proposer des jobs proches de vous.,Deze toestemming is nodig om vacatures bij jou in de buurt te vinden.,This permission is required to find nearby jobs.,Cette permission est requise pour vous proposer des jobs proches de vous.,Jetzt aktivieren und Jobs in deiner Nähe finden.,Cette permission est requise pour vous proposer des jobs proches de vous.,Jetzt aktivieren und Jobs in deiner Nähe finden.,This permission is required to find nearby jobs.,Jetzt aktivieren und Jobs in deiner Nähe finden.,This permission is required to find nearby jobs.,"To pozwolenie jest wymagane, aby wyświetlać oferty pracy w okolicy.","Tarvitsemme luvan sijaintitietoihin, näyttääksemme lähelläsi avuki olevia työpaikkoja.",Esta autorización es necesaria para que podamos enviarte ofertas cerca de donde estás.,Tento přístup je potřeba k zobrazování pracovních nabídek ve vaší blízkosti.,Ez a hozzáférés a közelben található állások funkcióhoz kellenek.
permission_location_subtitle,TRUE,"This will help us find candidates near you, or specific areas you choose.","Dies hilft dir, Jobs in deiner Nähe zu finden.","This will help us find candidates near you, or specific areas you choose.","This will help us find candidates near you, or specific areas you choose.",Cela nous aidera à trouver des offres près de chez vous.,"Cela nous aidera à trouver des candidats près de chez vous, ou des domaines spécifiques que vous choisirez.",Cela nous aidera à trouver des offres près de chez vous.,Dit helpt om vacatures bij jou in de buurt te vinden,Det här hjälper oss att hitta jobb i din närhet eller andra placeringar som du har angett.,Questo ci permetterà di trovare annunci vicino a te,Cela nous aidera à trouver des offres près de chez vous.,Dit helpt om vacatures bij jou in de buurt te vinden,"This will help us find candidates near you, or specific areas you choose.",Cela nous aidera à trouver des offres près de chez vous.,"Dies hilft dir, Jobs in deiner Nähe zu finden.",Cela nous aidera à trouver des offres près de chez vous.,"Dies hilft dir, Jobs in deiner Nähe zu finden.","This will help us find candidates near you, or specific areas you choose.","Dies hilft dir, Jobs in deiner Nähe zu finden.","This will help us find candidates near you, or specific areas you choose.","To pozwoli znaleźć kandydatów w okolicy lub innej, wybranej przez Ciebie lokalizacji.","Tämän avulla pystymme näyttämään sinulle sopivia hakijoita, valitsemiltasi alueilta. ",Esto nos ayudará a encontrar ofertas cerca de ti.,"Toto nám usnadní najít kandidáty blízko vás, nebo ve vámi vybraných oblastích.",Ennek segítségével a közelben található állásokat tudunk mutatni.
permission_location_title,TRUE,Please allow location access,Standortzugriff aktivieren,Please allow location access,Please allow location access,Autorisez l\'accès à votre localisation,Autoriser l\'accès au site,Autorisez l\'accès à votre localisation,Geef toegang tot je locatie,Vänligen tillåt åtkomst till platstjänster,Si prega di consentire l'accesso alla posizione,Autorisez l\'accès à votre localisation,Geef toegang tot je locatie,Please allow location access,Autorisez l\'accès à votre localisation,Standortzugriff aktivieren,Autorisez l\'accès à votre localisation,Standortzugriff aktivieren,Please allow location access,Standortzugriff aktivieren,Please allow location access,Prosimy o włączenie pozwolenia na dostęp do lokalizacji,Salli sijaintitietojen käyttö,Autoriza el acceso a tu localización.,Povolte prosím informace o vaší lokaci,"Kérjük, engedélyezd a hely hozzáférést"
permission_notifications_subtitle,TRUE,"This includes email and push notifications about job postings and other career content. You can withdraw consent at any time, or change your preferences in Settings.",Dies beinhaltet E-Mails sowie Push-Benachrichtigungen über Jobs und andere Karriere-Inhalte.,This includes email and push notifications about job postings and other career content.,This includes email and push notifications about job postings and other career content.,Nous vous enverrons des offres d\'emploi ou autre contenu lié à la carrière par emails ou notifications Push.,Cela comprend les notifications par courriel électronique sur les offres d\'emploi et autres contenus de carrière.,Nous vous enverrons des offres d\'emploi ou autre contenu lié à la carrière par emails ou notifications Push.,Dit gaat over e-mail en push notificaties voor vacatures en carrière content.,Detta inkluderar e-post- och pushmeddelanden för lediga jobb och annan karriärrelaterad information. Du kan när som helst ändra dina preferenser under Inställningar,Questo include email e notifiche push sulle Offerte di lavoro e altri contenuti di Carriera. È possibile modificare questa impostazione in qualsiasi momento.,Nous vous enverrons des offres d\'emploi ou autre contenu lié à la carrière par emails ou notifications Push.,Dit gaat over e-mail en push notificaties voor vacatures en carrière content.,This includes email and push notifications about job postings and other career content.,Nous vous enverrons des offres d\'emploi ou autre contenu lié à la carrière par emails ou notifications Push.,Dies beinhaltet E-Mails sowie Push-Benachrichtigungen über Jobs und andere Karriere-Inhalte.,Nous vous enverrons des offres d\'emploi ou autre contenu lié à la carrière par emails ou notifications Push.,Dies beinhaltet E-Mails sowie Push-Benachrichtigungen über Jobs und andere Karriere-Inhalte.,This includes email and push notifications about job postings and other career content.,Dies beinhaltet E-Mails sowie Push-Benachrichtigungen über Jobs und andere Karriere-Inhalte.,This includes email and push notifications about job postings and other career content.,Będziesz otrzymywać powiadomienia push i emaile o ofertach pracy i poradach dotyczących kariery. Zgodę możesz cofnąć w dowolnym momencie w emailu lub ustawieniach konta.,Tämä sisältää sähköpostit ja ilmoitukset työpaikoista ja muusta työhön liittyvästä sisällöstä. Voit muuttaa lupa-asetuksia kun haluat.,Te enviaremos ofertas de empleo u otro contenido relacionado con tu carrera profesional por email o notificaciones Push. Puedes desabonarte en cualquier momento.,Zahrnuje e-mail a notifikace o nových nabídkách práce a další obsah související s kariérou.,"Állásajánlatokat és karriertartalmakat küldünk neked, ha kéred - e-mailben és értesítésben. A beállítások menüpontban bármikor leiratkozhatsz."
permission_notifications_title,TRUE,Allow Monster to Contact You?,Darf Monster dich kontaktieren?,Allow Jobr to Contact You?,Allow Monster to Contact You?,Autorisez les notifications,Autorisez Monster à vous contacter?,Autorisez les notifications,Mag Monsterboard notificaties versturen?,Tillåter du att Monster kontaktar dig?,Consenti a Monster di contattarti?,Autorisez les notifications,Mag Monster notificaties versturen?,Allow Monster to Contact You?,Autorisez les notifications,Darf Monster dich kontaktieren?,Autorisez les notifications,Darf Monster dich kontaktieren?,Allow Monster to Contact You?,Darf Monster dich kontaktieren?,Allow Monster to Contact You?,Czy chcesz otrzymywać informacje od firmy Monster Polska?,Sallitko Monsterin ottaa yhteyttä sinuun?,Autoriza las notificaciones.,Může vás Monster kontaktovat?,Kapcsolatba léphetünk veled?
permission_storage_denied,TRUE,External storage permission denied,Speicherzugriff nicht aktiviert,External storage permission denied,External storage permission denied,Permissions stockage externe refusée,Permissions stockage externe refusée,Permissions stockage externe refusée,Externe opslag toestemming is afgewezen.,Åtkomst till extern lagring nekad,Autorizzazione per l'utilizzo della memoria esterna negata,Permissions stockage externe refusée,Externe opslag toestemming is afgewezen.,External storage permission denied,Permissions stockage externe refusée,Speicherzugriff nicht aktiviert,Permissions stockage externe refusée,Speicherzugriff nicht aktiviert,External storage permission denied,Speicherzugriff nicht aktiviert,External storage permission denied,Brak pozwolenia na dostęp do pamięci zewnętrznej,Ulkoinen tiedonhallinta estetty,La autorización para el uso de la memoria externa ha sido negada,Přístup k externímu uložišti byl odepřen,"Kérjük, engedélyezd a tárhely hozzáférést"
